customerID,tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_totalcharges_ratio
7590-VHVEG,1,0,0,1,29.85,29.85,0,0.03350083752093802
5575-GNVDE,34,1,1,0,56.95,1889.5,0,0.01799417835406192
3668-QPYBK,2,1,0,0,53.85,108.15,1,0.01849283402681461
7795-CFOCW,45,0,1,3,42.3,1840.75,0,0.024446557109873694
9237-HQITU,2,1,0,1,70.7,151.65,1,0.013188262446422683
9305-CDSKC,8,1,0,1,99.65,820.5,1,0.009750152346130409
1452-KIOVK,22,1,0,2,89.1,1949.4,0,0.01128552375089771
6713-OKOMC,10,0,0,0,29.75,301.9,0,0.03312355084465055
7892-POOKP,28,1,0,1,104.8,3046.05,1,0.009192232563483855
6388-TABGU,62,1,1,3,56.15,3487.95,0,0.017775484166917533
9763-GRSKD,13,1,0,0,49.95,587.45,0,0.022129542939824665
7469-LKBCI,16,1,2,2,18.95,326.8,0,0.04895960832313341
8091-TTVAX,58,1,1,2,100.35,5681.1,0,0.010209290454313425
0280-XJGEX,49,1,0,3,103.7,5036.3,1,0.009729364811468737
5129-JLPIS,25,1,0,1,105.5,2686.05,0,0.009307347219895385
3655-SNQYZ,69,1,2,2,113.25,7895.15,0,0.008739542630602332
8191-XWSZG,52,1,1,0,20.65,1022.95,0,0.05083337406520357
9959-WOFKT,71,1,2,3,106.7,7382.25,0,0.009617663991330556
4190-MFLUW,10,1,0,2,55.2,528.35,1,0.018926847733509982
4183-MYFRB,21,1,0,1,90.05,1862.9,0,0.011272746792635138
8779-QRDMV,1,0,0,1,39.65,39.65,1,0.025220680958385876
1680-VDCWW,12,1,1,3,19.8,202.25,0,0.059332509270704575
1066-JKSGK,1,1,0,0,20.15,20.15,1,0.04962779156327544
3638-WEABW,58,1,2,2,59.9,3505.1,0,0.016547316766996664
6322-HRPFA,49,1,0,2,59.6,2970.3,0,0.016496650170016496
6865-JZNKO,30,1,0,3,55.3,1530.6,0,0.01960015680125441
6467-CHFZW,47,1,0,1,99.35,4749.15,1,0.00989650779613194
8665-UTDHZ,1,0,0,1,30.2,30.2,1,0.033112582781456956
5248-YGIJN,72,1,2,2,90.25,6369.45,0,0.011303958740550598
8773-HHUOZ,17,1,0,0,64.7,1093.1,1,0.015552099533437015
3841-NFECX,71,1,2,2,96.35,6766.95,0,0.010492171510059925
4929-XIHVW,2,1,0,2,95.5,181.65,0,0.011010184420589044
6827-IEAUQ,27,1,1,0,66.15,1874.45,0,0.014404225239403557
7310-EGVHZ,1,1,0,3,20.2,20.2,0,0.04950495049504951
3413-BMNZE,1,1,0,3,45.25,45.25,0,0.022099447513812154
6234-RAAPL,72,1,2,3,99.9,7251.7,0,0.00992870637229891
6047-YHPVI,5,1,0,1,69.7,316.9,1,0.01577784790154623
6572-ADKRS,46,1,0,2,74.8,3548.3,0,0.012963954569793986
5380-WJKOV,34,1,0,1,106.35,3549.25,1,0.00957948862435726
8168-UQWWF,11,1,0,3,97.85,1105.4,1,0.00995114890537362
8865-TNMNX,10,1,1,0,49.55,475.7,0,0.021021652301870926
9489-DEDVP,70,1,2,2,69.2,4872.35,0,0.014366783995402628
9867-JCZSP,17,1,1,0,20.75,418.25,0,0.04064554692169755
4671-VJLCL,63,1,2,2,79.85,4861.45,0,0.01295909656583941
4080-IIARD,13,1,0,1,76.2,981.45,0,0.013245707881196188
3714-NTNFO,49,1,0,1,84.5,3906.7,0,0.01254255509765275
5948-UJZLF,2,1,0,0,49.25,97.0,0,0.020618556701030927
7760-OYPDY,2,1,0,1,80.65,144.15,1,0.013874436351023239
7639-LIAYI,52,1,2,2,79.75,4217.8,0,0.012328702167006496
2954-PIBKO,69,1,2,2,64.15,4254.1,0,0.016219646928845113
8012-SOUDQ,43,1,0,1,90.25,3838.75,0,0.011201563008791925
9420-LOJKX,15,1,0,2,99.1,1426.4,1,0.010515984296130118
6575-SUVOI,25,1,0,2,69.5,1752.65,0,0.014264114341140558
7495-OOKFY,8,1,0,2,80.65,633.3,1,0.012632243802305385
4667-QONEA,60,1,1,2,74.85,4456.35,0,0.013463933488168567
1658-BYGOY,18,1,0,1,95.45,1752.55,1,0.01027074833813586
8769-KKTPH,63,1,1,2,99.65,6311.2,0,0.009982253771073648
5067-XJQFU,66,1,1,1,108.45,7076.35,0,0.009326842227984765
3957-SQXML,34,1,2,2,24.95,894.3,0,0.03801856200380186
5954-BDFSG,72,1,2,2,107.5,7853.7,0,0.00916765346269911
0434-CSFON,47,1,0,1,100.5,4707.1,0,0.009984916402880753
1215-FIGMP,60,1,0,3,89.9,5450.7,0,0.011007760471132149
0526-SXDJP,72,0,2,3,42.1,2962.0,0,0.024307900067521943
0557-ASKVU,18,1,1,2,54.4,957.1,0,0.018806812245324416
5698-BQJOH,9,1,0,1,94.4,857.25,1,0.010498687664041995
5122-CYFXA,3,1,0,1,75.3,244.1,0,0.012290045063498567
8627-ZYGSZ,47,1,1,1,78.9,3650.35,0,0.012875477693919762
3410-YOQBQ,31,1,2,0,79.2,2497.2,0,0.012413903572000642
3170-NMYVV,50,1,2,3,20.15,930.9,0,0.05371146202599635
7410-OIEDU,10,1,0,0,79.85,887.35,0,0.011269510339775737
2273-QCKXA,1,1,0,0,49.05,49.05,0,0.020387359836901122
0731-EBJQB,52,1,1,1,20.4,1090.65,0,0.04767799018933663
1891-QRQSA,64,1,2,3,111.6,7099.0,0,0.009015354275250036
8028-PNXHQ,62,1,2,3,24.25,1424.6,0,0.04352098834760635
5630-AHZIL,3,1,0,3,64.5,177.4,0,0.016910935738444193
